,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
21,947529940462956545,947529940462956545,2017-12-31,ungeliebtesm,"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
",['#depressed'],"Kennst du diesen Moment, wenn du Züge, Autos, Springseile, Messer oder Brücken nicht mehr als Gegenstände wahrnimmst, sondern als Möglichkeit dich umzubringen?
#depressed",1
24,947511410736664577,947511410736664577,2017-12-31,georgiamcax,Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 ,['#depressed'],Actually greeting at the fact I’m too unwell to go out tonight 😭😭😭😭😭😭😭😭😩😩😩😩😩😩 #depressed,1
27,947504004287926272,947504004287926272,2017-12-31,solidsmark999,Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! ,['#depressed'],Im getting sick of everything from not being able to sleep to the constant pain and the loneliness i feel constantly im about to just say fuck it to everything!!! #depressed,1
29,947503603736043520,947503603736043520,2017-12-31,zambuddy2love,Finding someone to be  with this ,"['#depressed', '#newyear']",Finding someone to be #depressed with this #newyear,1
31,947496868669304832,947496868669304832,2017-12-31,nomoscarydreams,"*sigh* a few more minutes......
.....a few more nightmare.

  ","['#depressed', '#on', '#newyear2018']","*sigh* a few more minutes......
.....a few more nightmare.

#Depressed #On #NewYear2018",1
32,947496308876763136,947353042319564802,2017-12-31,hauntingnellie,listen to me I am still  but god I LOVEEEEEE HER,['#depressed'],listen to me I am still #depressed but god I LOVEEEEEE HER,1
42,947434041372041222,947434041372041222,2017-12-31,arisu_ayumi,"can you remember how we both laughed and said we have so much in common? Do you remember when I told you ""the worst thing that could happen is leaving me""? 

   pic.twitter.com/QvL5JxdY5i","['#depressed', '#depression', '#alone']","can you remember how we both laughed and said we have so much in common? Do you remember when I told you ""the worst thing that could happen is leaving me""? 

#depressed #depression #alone pic.twitter.com/QvL5JxdY5i",1
49,947369738061205506,947369738061205506,2017-12-31,jesusisaliveint,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK   ,"['#lonely', '#depressed']",Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK  #lonely #depressed,1
50,947362812380069889,947362812380069889,2017-12-31,oneversustwo,I'm a demon in the eyes of the Lord. :( And it makes me sad because I used to be religious beyond belief. So sad. ,['#depressed'],I'm a demon in the eyes of the Lord. :( And it makes me sad because I used to be religious beyond belief. So sad. #depressed,1
51,947360652909146112,947360652909146112,2017-12-31,imilkies,"Lepas baca apa yang JN buat dekat instastory tu, aku pun terfikir juga. Ramai yg ingat  tu main - main hm 🥀",['#depressed'],"Lepas baca apa yang JN buat dekat instastory tu, aku pun terfikir juga. Ramai yg ingat #depressed tu main - main hm 🥀",1
53,947347756363993088,947347756363993088,2017-12-31,nsomma_,Everyone is getting engaged and I’m like K when is it going to be my turn? ,['#depressed'],Everyone is getting engaged and I’m like K when is it going to be my turn? #depressed,1
57,947324843996807169,947324843996807169,2017-12-31,patricksayss,Yung pagod na nakakamatay tapos pag uwi ko ng bahay sasalubungin ako ng panglalait dahil sa pumapangit kong mukha. 💔💔💔  ,"['#depressed', '#wannadie']",Yung pagod na nakakamatay tapos pag uwi ko ng bahay sasalubungin ako ng panglalait dahil sa pumapangit kong mukha. 💔💔💔 #depressed #wannadie,1
62,947297750059663360,947297750059663360,2017-12-31,ethanstanton,I have a bad feeling I’m not going to be back at a good time for NYE in Hays ,['#depressed'],I have a bad feeling I’m not going to be back at a good time for NYE in Hays #depressed,1
71,947268616952487936,947268616952487936,2017-12-31,aussiestu83,Nothing more depressing than taking down all the Christmas decorations. The house always looks so bare.  ,"['#sadsack', '#depressed']",Nothing more depressing than taking down all the Christmas decorations. The house always looks so bare. #SadSack #Depressed,1
73,947245177936252931,947245177936252931,2017-12-31,antjoisce,I live with my dad as I'm disabled and  but he always puts his cats first. Feel completely worthless.,['#depressed'],I live with my dad as I'm disabled and #depressed but he always puts his cats first. Feel completely worthless.,1
83,947199459208908800,947199459208908800,2017-12-30,ughh_who,It’s hard to stay strong when all you want to do is crumble.  😔,['#depressed'],It’s hard to stay strong when all you want to do is crumble. #depressed 😔,1
91,947181935201280001,947181935201280001,2017-12-30,daidais_,Almost thirty still the same shit   and ,"['#beer', '#depressed', '#awesome']",Almost thirty still the same shit #beer #depressed and #awesome,1
93,947178254837977088,947178254837977088,2017-12-30,cw_london,Back to normality and back to work for a night shift tomorrow night   ,"['#nhs', '#depressed', '#wishitcouldbechristmaseveryday']",Back to normality and back to work for a night shift tomorrow night #nhs #depressed #wishitcouldbechristmaseveryday,1
117,947120076754472960,947120076754472960,2017-12-30,cheddarsgal,The reality of being homeless in  just became more realistic.   ,"['#depressed', '#worried', '#scared']",The reality of being homeless in #2018 just became more realistic. #depressed #worried #scared,1
119,947117749301645312,947117749301645312,2017-12-30,aprilfeigles,Isn’t there a job where you are on vacation 24/7?   ,"['#missingvacation', '#depressed', '#hatestress']",Isn’t there a job where you are on vacation 24/7? #missingvacation #depressed #hatestress,1
122,947106701798445056,947106701798445056,2017-12-30,mandapandajean,How I deal with a large chunk of my stuff getting stolen: buy more stuff with money I don't have.  ,"['#help', '#depressed']",How I deal with a large chunk of my stuff getting stolen: buy more stuff with money I don't have. #help #depressed,1
124,947101224960233475,947101224960233475,2017-12-30,jbstarification,"Parce que les citations positives on en entend assez parler !
  pic.twitter.com/vo7wldn3J5","['#depressed', '#quote']","Parce que les citations positives on en entend assez parler !
#Depressed #quote pic.twitter.com/vo7wldn3J5",1
125,947101123575537664,947101123575537664,2017-12-30,jbstarification,"Parce que les citations positives on en entend assez parler !
  pic.twitter.com/IJWZH8WKIe","['#depressed', '#quote']","Parce que les citations positives on en entend assez parler !
#Depressed #quote pic.twitter.com/IJWZH8WKIe",1
126,947101000292294656,947101000292294656,2017-12-30,jbstarification,"Parce que les citations positives on en entend assez parler !
  pic.twitter.com/ImrXGLeTOv","['#depressed', '#quote']","Parce que les citations positives on en entend assez parler !
#Depressed #quote pic.twitter.com/ImrXGLeTOv",1
129,947096422511341569,947096422511341569,2017-12-30,3dprint_seattle,"Ugg I hate birthdays.... Wish I did not have them.
  ","['#birthdays', '#depressed', '#birthday']","Ugg I hate birthdays.... Wish I did not have them.
#birthdays #depressed #birthday",1
135,947066333052760064,947066333052760064,2017-12-30,nishkawolf,"people who've never been  a day in their life give the dumbest advice istfg like ""take a walk early in the morning, it's so refreshing!"" okay debbie I haven't brushed my teeth in 3 days cause I can't manage the 5 steps to the bathroom sink but okay",['#depressed'],"people who've never been #depressed a day in their life give the dumbest advice istfg like ""take a walk early in the morning, it's so refreshing!"" okay debbie I haven't brushed my teeth in 3 days cause I can't manage the 5 steps to the bathroom sink but okay",1
136,947061003862155264,947061003862155264,2017-12-30,justinaagu6,"this girls self,they think speaking BiG bIG gRammer makes them to be seen as being smart.I dey shop as one girl lyk dat wan buy bread,she look bread finish and sigh,,,another tin i hear b say""i don't like dis bread,it is "" my God! english no go make me deaf oo",['#depressed'],"this girls self,they think speaking BiG bIG gRammer makes them to be seen as being smart.I dey shop as one girl lyk dat wan buy bread,she look bread finish and sigh,,,another tin i hear b say""i don't like dis bread,it is #depressed"" my God! english no go make me deaf oo",1
139,947023120052895744,947023120052895744,2017-12-30,notmikeydavis,Oh look at that it's 3:30am and I'm ,['#depressed'],Oh look at that it's 3:30am and I'm #depressed,1
143,947000059731857408,947000059731857408,2017-12-30,novatheprotogen,I feel as if right now I'm a worthless Human being ,['#depressed'],I feel as if right now I'm a worthless Human being #depressed,1
145,946993756095569921,946993756095569921,2017-12-30,katieprestonn,Omg!! Happy birthday boo💕💕thx for making life fun & always being there💋🎉!!    pic.twitter.com/gCJtbTTj6J,['#depressed'],Omg!! Happy birthday boo💕💕thx for making life fun & always being there💋🎉!! #16 #depressed  pic.twitter.com/gCJtbTTj6J,1
146,946990442301845504,946990442301845504,2017-12-30,krystinmccall7,Well the last couple days have been rough I tried to succeed and surpass the difficult moments but can't win.  ,"['#sad', '#depressed']",Well the last couple days have been rough I tried to succeed and surpass the difficult moments but can't win. #sad #depressed,1
151,946971844594114560,946971844594114560,2017-12-30,gospel66,"When you are  down,  and overcome pray and read God's written and living ","['#feeling', '#depressed', '#word']","When you are #feeling down, #depressed and overcome pray and read God's written and living #word",1
154,946966221249015808,946966221249015808,2017-12-30,xander13542580,Lol depression is my best friend you know?😂😂😂   ,"['#depressed', '#depression', '#bestfriend']",Lol depression is my best friend you know?😂😂😂 #depressed #depression #bestfriend,1
162,946931851280691203,946931851280691203,2017-12-30,otavioyuuki,Porque nada que a gente faz nunca está bom?  ,"['#depressed', '#triste']",Porque nada que a gente faz nunca está bom? #depressed #triste,1
164,946926697110298625,946926697110298625,2017-12-30,thegeekygirl18,"   

Im tired of being fat
Im tired of being tired
Im tired of being a failure
Im tired of being me pic.twitter.com/UJuw7IFrCT","['#depressed', '#whyamilikethis', '#fat']","#depressed #whyamilikethis #fat 

Im tired of being fat
Im tired of being tired
Im tired of being a failure
Im tired of being me pic.twitter.com/UJuw7IFrCT",1
170,946891518052270080,946891518052270080,2017-12-30,mhn247,Can't sleep because I'm in a  and I'm in a  because my sleeping pattern is messed up due to the holidays... Trying to think when  is like trying to think though treacle... Sadly the bad thoughts get through just a little too often...,"['#depression', '#depression', '#depressed']",Can't sleep because I'm in a #depression and I'm in a #depression because my sleeping pattern is messed up due to the holidays... Trying to think when #depressed is like trying to think though treacle... Sadly the bad thoughts get through just a little too often...,1
186,946861965976236032,946861965976236032,2017-12-29,shelgha,Thanks YTFC depressed boys in this house yet again...  ,"['#ytfc', '#depressed']",Thanks YTFC depressed boys in this house yet again... #YTFC #depressed,1
187,946857649026584576,946857649026584576,2017-12-29,emmagaedele,people make a big deal out of nothing & i just want cfa    🤪🤪,"['#stressed', '#depressed', '#butveryblessed']",people make a big deal out of nothing & i just want cfa #stressed #depressed #butveryblessed 🤪🤪,1
195,946829451702276096,946829451702276096,2017-12-29,tiredlittleone,"I just need friends, please talk  ",['#depressed'],"I just need friends, please talk  #depressed",1
199,946812923602665478,946812923602665478,2017-12-29,juliaknilsson,"Guess what's back back back? Back again again again, well if it's not my favourite thing in the whole wide world  hate feeling  which I am feeling today.  to read when you have anxiety Julia. read them. You will survive this one too, I promise you. pic.twitter.com/O6r1CDuHRc","['#anxiety', '#depressed', '#quote']","Guess what's back back back? Back again again again, well if it's not my favourite thing in the whole wide world #anxiety hate feeling #depressed which I am feeling today. #quote to read when you have anxiety Julia. read them. You will survive this one too, I promise you. pic.twitter.com/O6r1CDuHRc",1
203,946809761605079040,946809761605079040,2017-12-29,ronniebadowski," Remember behind every , the  is still shinning.","['#depressed', '#cloud', '#sun']","#DEPRESSED Remember behind every #CLOUD, the #SUN is still shinning.",1
204,946808289219641344,946808289219641344,2017-12-29,esev45,I just lost all my pictures dating back to 2008.... so many concert pictures and videos... so many good times... Coachellax3.... 😭😭😭😭 ,['#depressed'],I just lost all my pictures dating back to 2008.... so many concert pictures and videos... so many good times... Coachellax3.... 😭😭😭😭 #depressed,1
208,946795706647429123,946795706647429123,2017-12-29,ppri_7,"If you’re not up all night working or skipping meals, you’re doing your phd wrong.  ","['#depressed', '#farawayfromthisworld']","If you’re not up all night working or skipping meals, you’re doing your phd wrong. #depressed #farawayfromthisworld",1
209,946794025545236480,946794025545236480,2017-12-29,casualdeprexxed,So ready for my winter depression to be over. Spring depression here I come.   ,"['#depressed', '#imfine', '#imnotfine']",So ready for my winter depression to be over. Spring depression here I come. #depressed #imfine #imnotfine,1
213,946784184458203137,946784184458203137,2017-12-29,katiexdarling,follow me for more   ab being fucking ,"['#relatable', '#content', '#depressed']",follow me for more #relatable #content ab being fucking #depressed,1
219,946776297459666944,946776297459666944,2017-12-29,dangerousmahdi,"Am depressed my ass off bruh!! 
  ","['#depression', '#depressed', '#worldnews']","Am depressed my ass off bruh!! 
#depression #depressed #worldnews",1
221,946772029545558016,946772029545558016,2017-12-29,erivvs,@gabolgar happy black mirror day!! Get ready to get ,['#depressed'],@gabolgar happy black mirror day!! Get ready to get #depressed,1
227,946752693820944385,946752693820944385,2017-12-29,kmerchant3,"Poor faugheen hopefully ok! poor aul Paul townend having a mare, must have so looking forward to getting the rides on these ",['#depressed'],"Poor faugheen hopefully ok! poor aul Paul townend having a mare, must have so looking forward to getting the rides on these #Depressed",1
228,946752066323587073,946752066323587073,2017-12-29,chong_mae_mae,Maybe it's a bunch of self doubt and it's finally swallowed me whole. Maybe I'd just feel better if I was buried 6ft under of an urn of ashes. ,['#depressed'],Maybe it's a bunch of self doubt and it's finally swallowed me whole. Maybe I'd just feel better if I was buried 6ft under of an urn of ashes. #depressed,1
232,946721661327351808,946721661327351808,2017-12-29,ayresh_irish,I'm alone. I'm seeking for help. I'm drowning from loneliness. Can somebody save me?   ,"['#depressed', '#depression', '#depress']",I'm alone. I'm seeking for help. I'm drowning from loneliness. Can somebody save me? #Depressed #Depression #Depress,1
239,946685545421271040,946684856842436608,2017-12-29,etteniotna_,"I regret why did I've to face this hard event in my life but God has the purposed on it. In night, I'm looking at the mirror and start crying and asking why they left me broken and shattered? but I knew I should just pray and talk to God because he will help me. ",['#depressed'],"I regret why did I've to face this hard event in my life but God has the purposed on it. In night, I'm looking at the mirror and start crying and asking why they left me broken and shattered? but I knew I should just pray and talk to God because he will help me. #Depressed",1
245,946659709561593857,946659709561593857,2017-12-29,missterheads,Acabo de conocer a los novios mas lindos de la vida ,['#depressed'],Acabo de conocer a los novios mas lindos de la vida #depressed,1
247,946658098843754496,946658098843754496,2017-12-29,ayresh_irish,"I'm depressed
Death wants me
But I'm scared to death
What should I do?

  ","['#depressed', '#depress', '#depression']","I'm depressed
Death wants me
But I'm scared to death
What should I do?

#Depressed #Depress #Depression",1
253,946648818937839617,946648818937839617,2017-12-29,roor,"When you're feeling low or , all it takes is a simple (average quality) photo of your  to make things okay again. Even if you may never see her again because of your stupid POS ex..., but I digress. I love you, Roxxy. With all my heart. pic.twitter.com/8oQalTHBvU","['#depressed', '#dog']","When you're feeling low or #depressed, all it takes is a simple (average quality) photo of your #dog to make things okay again. Even if you may never see her again because of your stupid POS ex..., but I digress. I love you, Roxxy. With all my heart. pic.twitter.com/8oQalTHBvU",1
254,946643386097790976,946643386097790976,2017-12-29,depresso_story,"It's amazing how much time and effort you can put into a relationship only to feel like your efforts are for nothing. Nothing will change. You won't receive as much love and care as you show them. And.. it hurts.. so fucking much..

(Tags:    )","['#depressed', '#relationships', '#struggling']","It's amazing how much time and effort you can put into a relationship only to feel like your efforts are for nothing. Nothing will change. You won't receive as much love and care as you show them. And.. it hurts.. so fucking much..

(Tags: #depressed #relationships #struggling )",1
257,946634106275811328,946634106275811328,2017-12-29,agatashnight,I'm tired of all. Maybe I need something else. ,['#depressed'],I'm tired of all. Maybe I need something else. #depressed,1
258,946633893255569409,946633893255569409,2017-12-29,agatashnight,Some days I just want to kill myself.  ,"['#justsaying', '#depressed']",Some days I just want to kill myself. #JustSaying #depressed,1
259,946633715702255616,946633715702255616,2017-12-29,agatashnight,"This wonds won't seem to heal, this pain is just to real.  ","['#sad', '#depressed']","This wonds won't seem to heal, this pain is just to real. #sad #depressed",1
260,946633479512616960,946633479512616960,2017-12-29,agatashnight,Sometimes I just hate everything. Can you blame me for it? ,['#depressed'],Sometimes I just hate everything. Can you blame me for it? #depressed,1
261,946632799557009408,946632799557009408,2017-12-29,taymata_15,when you cry at the bar cuz  😩,['#depressed'],when you cry at the bar cuz #depressed 😩,1
263,946619006546599936,946619006546599936,2017-12-29,oh_its_soren,The moment you realize your life is boring and pointless and you're barely sixteen ,['#depressed'],The moment you realize your life is boring and pointless and you're barely sixteen #Depressed,1
266,946610807260971008,946569511376912384,2017-12-29,gamerfreak0,Laying with my eyes closed hoping for the best. Now I’m getting up and ready for work!   ,"['#depressed', '#wouldratherwatchpaintdry', '#wouldrathereatdogshite']",Laying with my eyes closed hoping for the best. Now I’m getting up and ready for work! #depressed #wouldratherwatchpaintdry #wouldrathereatdogshite,1
272,946593767468888064,946593767468888064,2017-12-29,dmanfame,My Sister is NOT into My Oversized Sweats & Heels Look...She's been asking Me for a Year if I'm  or have  problems! ,"['#depressed', '#bodyimage', '#lol']",My Sister is NOT into My Oversized Sweats & Heels Look...She's been asking Me for a Year if I'm #Depressed or have #BodyImage problems! #LoL,1
275,946577004379258881,946577004379258881,2017-12-29,zurichnee,Hoping tomorrow is a better day. Not that today was bad. Just don't like that  feeling that just grabs you and pulls you down.,['#depressed'],Hoping tomorrow is a better day. Not that today was bad. Just don't like that #depressed feeling that just grabs you and pulls you down.,1
280,946571070697385984,946571070697385984,2017-12-29,_kayleelovee,all 4 of my siblings are out ,['#depressed'],all 4 of my siblings are out #depressed,1
281,946570387197853696,946570387197853696,2017-12-29,jbouhey,8 months of pain. Back to the doctor today... most likely more pills are coming. ,['#depressed'],8 months of pain. Back to the doctor today... most likely more pills are coming. #depressed,1
282,946566659728429056,946566659728429056,2017-12-29,riverlegzz,Idk if I’m   or both 🖕🏽😅,"['#hungry', '#depressed']",Idk if I’m #hungry #depressed or both 🖕🏽😅,1
284,946563907807842304,946563907807842304,2017-12-29,kenyaharrison18,You know what pisses me off more than being laid off...being laid off 3 weeks before my birthday.   ,"['#why', '#depressed', '#whoshiring']",You know what pisses me off more than being laid off...being laid off 3 weeks before my birthday. #why #depressed #whoshiring,1
285,946558684955643904,946558684955643904,2017-12-29,laura_thegreat,I haven't lifted in two weeks 😭😭😭😭😭 ,['#depressed'],I haven't lifted in two weeks 😭😭😭😭😭 #depressed,1
287,946543700653592577,946543700653592577,2017-12-29,homunculusqueen,brb just gonna play synth for an hour bc i’m ,['#depressed'],brb just gonna play synth for an hour bc i’m #depressed,1
288,946540865232744449,946540865232744449,2017-12-29,_kimiiko,"i am, what the kids say, ",['#depressed'],"i am, what the kids say, #depressed",1
291,946539126777663488,946539126777663488,2017-12-29,baldyrunner,"At my heaviest weight in over 10 years, too ill to do any cardio work, so no running or swimming, & getting thoroughly  about it...  pic.twitter.com/YIROdsvADe",['#depressed'],"At my heaviest weight in over 10 years, too ill to do any cardio work, so no running or swimming, & getting thoroughly #depressed about it...  pic.twitter.com/YIROdsvADe",1
297,946506646267809792,946506646267809792,2017-12-29,haileyyjane,These gloomy days and sickness has got me ,['#depressed'],These gloomy days and sickness has got me #depressed,1
298,946499271251120133,946499271251120133,2017-12-28,tn_maytrix,I’ve been streaming for almost 7 hours and still get no viewers ,['#depressed'],I’ve been streaming for almost 7 hours and still get no viewers #depressed,1
306,946473660117811202,946473660117811202,2017-12-28,lydia_m_02,"It sucks, doesn’t it? 
Feeling like you’re not enough 

 ","['#depressed', '#anorexic']","It sucks, doesn’t it? 
Feeling like you’re not enough 

#depressed #anorexic",1
307,946471476236087301,946471476236087301,2017-12-28,lydia_m_02,"Haven’t felt my worth in so long 

 ","['#depressed', '#anorexic']","Haven’t felt my worth in so long 

#depressed #anorexic",1
310,946456114899517442,946456114899517442,2017-12-28,mrsmoney702,I take shit out on the wrong people . I’m so tired off everything this is not how I thought my life would be . #,[],I take shit out on the wrong people . I’m so tired off everything this is not how I thought my life would be . #depressed#,1
314,946440469176754176,946440469176754176,2017-12-28,cerberusorthrus,ภาพนี้เราวาดขึ้นในขณะที่อาการกำเริบ สะท้อนถึงสภาพจิตใจที่น่ากลัวกว่าภาพหลายพันเท่า หวังว่ามันจะถ่ายทอดแทนคำอธิบายจากเพื่อนร่วมโรคให้ทุกคนเข้าใจ ึมเศร้า   pic.twitter.com/XMPZ58cgEV,"['#โรคซึมเศร้า', '#depressed']",ภาพนี้เราวาดขึ้นในขณะที่อาการกำเริบ สะท้อนถึงสภาพจิตใจที่น่ากลัวกว่าภาพหลายพันเท่า หวังว่ามันจะถ่ายทอดแทนคำอธิบายจากเพื่อนร่วมโรคให้ทุกคนเข้าใจ #โรคซึมเศร้า #depressed  pic.twitter.com/XMPZ58cgEV,1
315,946431898640728065,946431898640728065,2017-12-28,ckproject,It's best when I keep my mind busy so that I don't start feeling .  I want to better things for myself and my family.,"['#depressed', '#positivethinking']",It's best when I keep my mind busy so that I don't start feeling #depressed. #positivethinking I want to better things for myself and my family.,1
326,946404326418739201,946404326418739201,2017-12-28,sadandbroken101,"dear stress,                                                  lets break up?🙂                                            tags:   ","['#broken', '#sad', '#depressed']","dear stress,                                                  lets break up?🙂                                            tags: #broken #sad #depressed",1
329,946402202876305408,946402202876305408,2017-12-28,ayyyuni,everybody looks so happy but then there’s me   ,"['#quote', '#depressed', '#sad']",everybody looks so happy but then there’s me #quote #depressed #sad,1
330,946401790093856769,946401790093856769,2017-12-28,ayyyuni,i really can’t take this anymore  ,"['#depressed', '#quote']",i really can’t take this anymore #depressed #quote,1
331,946401602138726400,946401602138726400,2017-12-28,ayyyuni,can i just fucking die ? ,['#depressed'],can i just fucking die ? #depressed,1
344,946339803909558272,946339803909558272,2017-12-28,mariamohamed141,"امتحان ايه ده الاتناشر صفحه حضرتك !
",['#depressed'],"امتحان ايه ده الاتناشر صفحه حضرتك !
#depressed",1
349,946319947663208448,946319947663208448,2017-12-28,florence_yau,"Me... keeping up pretenses while everyone basically doesn't notice me at all...
  pic.twitter.com/FN9IP27LrR","['#depressed', '#invisible']","Me... keeping up pretenses while everyone basically doesn't notice me at all...
#depressed #Invisible pic.twitter.com/FN9IP27LrR",1
352,946283527057817601,946283527057817601,2017-12-28,reallycrazymae,Updating my curriculum vitae i am such a loser hahaha   ,"['#olddumbandbroke', '#depressed', '#feelingunaccomplished']",Updating my curriculum vitae i am such a loser hahaha #olddumbandbroke #depressed #feelingunaccomplished,1
356,946259756343349248,946259756343349248,2017-12-28,bulldawg967,When your heart and mind are going in two different directions. 🚶😢   ,"['#single', '#confused', '#depressed']",When your heart and mind are going in two different directions. 🚶😢 #single #confused #depressed,1
362,946224996208316421,946218661462859776,2017-12-28,bigg52live,I asked for water and I didn't get water. ALSO the waiter admitted to microwaving the food... ,['#depressed'],I asked for water and I didn't get water. ALSO the waiter admitted to microwaving the food... #depressed,1
366,946202357578084352,946202357578084352,2017-12-28,starlayarbrough,"After Chritmas Blues. :'(
I need a hug

","['#christmas2017', '#depressed']","After Chritmas Blues. :'(
I need a hug
#Christmas2017
#Depressed",1
367,946192703653519360,946192703653519360,2017-12-28,thedaftdanielle,"When you want to wear matching  shirts with the spook in my life, but they only sent one instead of the two you paid for.  ","['#buzzfeedunsolved', '#depressed', '#buzzfeedunsolved']","When you want to wear matching #buzzfeedunsolved shirts with the spook in my life, but they only sent one instead of the two you paid for. #depressed #buzzfeedunsolved",1
375,946159048356921344,946159048356921344,2017-12-28,thatemoboy0,Who else wants to kill their selfs...    ,"['#depressed', '#anxity', '#dontwithlife']",Who else wants to kill their selfs...  #depressed #anxity #dontwithlife,1
389,946102049997033473,946102049997033473,2017-12-27,ylime311,Day by day the more I realize that I have nobody...  😞  pic.twitter.com/6R2dweJ23X,['#depressed'],Day by day the more I realize that I have nobody... #depressed 😞  pic.twitter.com/6R2dweJ23X,1
391,946098606557208576,946098606557208576,2017-12-27,slothmachineth,เริ่มเข้าใจเวลาเจ้าของอยากให้น้องหมาตัวเองตายแล้วแหละ 😭😭😭 คือน้องร่างกายไม่ค่อยไหว(แต่ใจสู้)ตามองไม่เห็น ขาหลังเริ่มลีบ เดินไม่ค่อยได้ต้องลากขาหลังเอา ฉี่อึเองได้ยากแล้ว มันเศร้านะถ้าหมาตัวเองตาย แต่เศร้ากว่าที่เห็นว่าเป็นแบบนี้ 😓😓 ้าใจ   pic.twitter.com/4End6xXnt3,"['#เศร้าใจ', '#depressed']",เริ่มเข้าใจเวลาเจ้าของอยากให้น้องหมาตัวเองตายแล้วแหละ 😭😭😭 คือน้องร่างกายไม่ค่อยไหว(แต่ใจสู้)ตามองไม่เห็น ขาหลังเริ่มลีบ เดินไม่ค่อยได้ต้องลากขาหลังเอา ฉี่อึเองได้ยากแล้ว มันเศร้านะถ้าหมาตัวเองตาย แต่เศร้ากว่าที่เห็นว่าเป็นแบบนี้ 😓😓 #เศร้าใจ #depressed  pic.twitter.com/4End6xXnt3,1
401,946075206224924672,946075206224924672,2017-12-27,ungeliebtesm,"Schlimm ist, wenn du von außen strahlst und keiner merkt das du innerlich weinst.
",['#depressed'],"Schlimm ist, wenn du von außen strahlst und keiner merkt das du innerlich weinst.
#depressed",1
402,946074201156407296,946074201156407296,2017-12-27,georgiapagieee,Brought myself a cheer up present for being   pic.twitter.com/reStgT1S4f,['#depressed'],Brought myself a cheer up present for being #depressed  pic.twitter.com/reStgT1S4f,1
413,946036336376647692,946036336376647692,2017-12-27,mj013_,I really need some good news at this rate... feel like it's going downhill for me 😐,['#depressed'],I really need some good news at this rate... feel like it's going downhill for me #depressed😐,1
425,945961144023441408,945961144023441408,2017-12-27,ydnarams,El día de hoy va a ser un día bien llorón para mi. Con los ajetreos de mi vida no he llorado a Jonghyun pero hoy si que si... ,['#depressed'],El día de hoy va a ser un día bien llorón para mi. Con los ajetreos de mi vida no he llorado a Jonghyun pero hoy si que si... #depressed,1
427,945952156971962370,945952156971962370,2017-12-27,cheques___,"When u'r happy, u'r always hungry u can eat all day. 😂

When u'r , u can survive without food all day.",['#depressed'],"When u'r happy, u'r always hungry u can eat all day. 😂

When u'r #depressed, u can survive without food all day.",1
430,945911144371322880,945911144371322880,2017-12-27,mrtokzen,"In need of a stranger I can talk to, who won't judge... ",['#depressed'],"In need of a stranger I can talk to, who won't judge... #depressed",1
434,945898933972357120,945898933972357120,2017-12-27,coconutinbahama,"1/1 and now I have to spend New year on my own following my birthday this is bordering on annoying now. Slap me.  I love having friends. It's who I am. Not a  (loner)  sorry, I rant. Not much love in my personal life pic.twitter.com/bAdEBzDeLP","['#loneliness', '#depressed', '#joinin']","1/1 and now I have to spend New year on my own following my birthday this is bordering on annoying now. Slap me. #Loneliness I love having friends. It's who I am. Not a #depressed (loner) #joinin sorry, I rant. Not much love in my personal life pic.twitter.com/bAdEBzDeLP",1
436,945885133348814849,945885133348814849,2017-12-27,drsantoshhealt2," !!
You can get rid of this situation by  pic.twitter.com/NplEydszpu","['#depressed', '#homoeopathy']","#Depressed !!
You can get rid of this situation by #Homoeopathy pic.twitter.com/NplEydszpu",1
438,945881320827232257,945881320827232257,2017-12-27,fredthealien316,I've just realized the only way I'll ever own a place of my own in the lower mainland is if I win the lottery. That's it. ,['#depressed'],I've just realized the only way I'll ever own a place of my own in the lower mainland is if I win the lottery. That's it. #Depressed,1
442,945877702774607873,945877702774607873,2017-12-27,djkingtrendz,"I'll be just fine
Pretending I'm not
I'm far from lonely
And it's all that I've got   ","['#depressed', '#depression', '#broken']","I'll be just fine
Pretending I'm not
I'm far from lonely
And it's all that I've got #depressed #depression #Broken",1
450,945853381515595776,945851825558781952,2017-12-27,jazzytrumpeter,I'm just so tired. I just want to give up on life. But I won't.   ,"['#depressed', '#depression', '#fuckme']",I'm just so tired. I just want to give up on life. But I won't. #depressed #depression #fuckme,1
452,945850945547759621,945850945547759621,2017-12-27,alltheoutsiders,Its hard to watch all my friends have fun together and never invite u to have fun with them😔😔   ,"['#sad', '#fun', '#depressed']",Its hard to watch all my friends have fun together and never invite u to have fun with them😔😔 #sad #fun #depressed,1
454,945838040097832960,945838040097832960,2017-12-27,abztractisight,"I was a fan of Junghyun of . Lately I've been  too. Then a friend spoke truth: You don't drown by falling in, you drown by staying there.","['#shinee', '#depressed']","I was a fan of Junghyun of #SHINee. Lately I've been #depressed too. Then a friend spoke truth: You don't drown by falling in, you drown by staying there.",1
