,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,mod_text
1099,947587393506414592,947587393506414592,1514757414000,2017-12-31,23:56:54,?aeianei? ?na GTB,786244699287728129,durgadasaduriel,Durgadas Allon Duriel,,"In recovery, we may struggle to release some beliefs that were true in an episode of #depression or #anxiety, but that aren't now. E.g. ""I only have the energy to go out once a week; shopping = panic."" Part of #recovery is challenging these thoughts & gently nudging ourselves on.",[],[],[],0,4,12,"['#depression', '#anxiety', '#recovery']",[],https://twitter.com/DurgadasADuriel/status/947587393506414592,False,,0,,,,,,,"[{'user_id': '786244699287728129', 'username': 'DurgadasADuriel'}]",,,,,"In recovery, we may struggle to release some beliefs that were true in an episode of  or , but that aren't now. E.g. ""I only have the energy to go out once a week; shopping = panic."" Part of  is challenging these thoughts & gently nudging ourselves on."
1107,947585008767787008,947585008767787008,1514756846000,2017-12-31,23:47:26,?aeianei? ?na GTB,141789775,stormwolff,Mugu's Human 🏳️‍🌈,,"So...for the first time in two days, I got up, showered, and I'm actually out. Because depression may suck, but, I have to keep fighting. #depression",[],[],[],0,0,4,['#depression'],[],https://twitter.com/Stormwolff/status/947585008767787008,False,,0,,,,,,,"[{'user_id': '141789775', 'username': 'Stormwolff'}]",,,,,"So...for the first time in two days, I got up, showered, and I'm actually out. Because depression may suck, but, I have to keep fighting. "
1110,947584582706237440,947269559450525696,1514756744000,2017-12-31,23:45:44,?aeianei? ?na GTB,745943492,scienerf,Mel,,"we're always so scared to admit that we're struggling with the fear of stigma, yet I've usually been pleasantly surprised by peoples reactions when I tell them about #anxiety and #depression problems, there's so many of us with them at some point! #JoinIn",[],[],[],0,1,5,"['#anxiety', '#depression', '#joinin']",[],https://twitter.com/Scienerf/status/947584582706237440,False,,0,,,,,,,"[{'user_id': '745943492', 'username': 'Scienerf'}]",,,,,"we're always so scared to admit that we're struggling with the fear of stigma, yet I've usually been pleasantly surprised by peoples reactions when I tell them about  and  problems, there's so many of us with them at some point! "
1111,947584097341370368,947584097341370368,1514756628000,2017-12-31,23:43:48,?aeianei? ?na GTB,855925573788499969,leecoleman_1980,Lee coleman,,"Good riddance to a shocking year, roll on a more positive and happy one. Looking forward to restarting my life and getting the old me back.#depression",[],[],[],0,0,0,['#depression'],[],https://twitter.com/leecoleman_1980/status/947584097341370368,False,,0,,,,,,,"[{'user_id': '855925573788499969', 'username': 'leecoleman_1980'}]",,,,,"Good riddance to a shocking year, roll on a more positive and happy one. Looking forward to restarting my life and getting the old me back."
1113,947583339845902336,947282799811231745,1514756448000,2017-12-31,23:40:48,?aeianei? ?na GTB,754176476,seanhagey,Sean Hagey,,"Thoughts on how high-reactive temperament children are more prone to #depression and #anxiety when raised in unstable homes but there are upsides as well.
#introverts pic.twitter.com/f406RcqEbt",[],[],"['https://pbs.twimg.com/media/DSZ9_rpUMAA99-G.jpg', 'https://pbs.twimg.com/media/DSZ-BE6UMAEkeXl.jpg']",1,0,0,"['#depression', '#anxiety', '#introverts']",[],https://twitter.com/SeanHagey/status/947583339845902336,False,,0,,,,,,,"[{'user_id': '754176476', 'username': 'SeanHagey'}]",,,,,"Thoughts on how high-reactive temperament children are more prone to  and  when raised in unstable homes but there are upsides as well.
 pic.twitter.com/f406RcqEbt"
1141,947575850081320960,947575850081320960,1514754662000,2017-12-31,23:11:02,?aeianei? ?na GTB,787794145939193856,justtellone,Just Tell One,,"If the first person you talk to about #depression or #addiction doesn’t offer you support or guidance, don’t give up. You will find the right trusted person. #JustTellOne pic.twitter.com/tTWPF2BAxE",[],[],['https://pbs.twimg.com/media/DSZ3NlnX0AQbIvz.jpg'],0,3,0,"['#depression', '#addiction', '#justtellone']",[],https://twitter.com/JustTellOne/status/947575850081320960,False,,0,,,,,,,"[{'user_id': '787794145939193856', 'username': 'JustTellOne'}]",,,,,"If the first person you talk to about  or  doesn’t offer you support or guidance, don’t give up. You will find the right trusted person.  pic.twitter.com/tTWPF2BAxE"
1160,947571774643953665,947571774643953665,1514753690000,2017-12-31,22:54:50,?aeianei? ?na GTB,914170255500595201,dailygoldrose,Daily Gold Rose,,I can’t believe I am going into 2018 feeling so anxious and depressed #depression #blogger #anxietyproblems,[],[],[],0,0,2,"['#depression', '#blogger', '#anxietyproblems']",[],https://twitter.com/dailygoldrose/status/947571774643953665,False,,0,,,,,,,"[{'user_id': '914170255500595201', 'username': 'dailygoldrose'}]",,,,,I can’t believe I am going into 2018 feeling so anxious and depressed   
1172,947568136416403456,947568136416403456,1514752823000,2017-12-31,22:40:23,?aeianei? ?na GTB,250022569,devon_malone,Devon Malone,,"I'm glad I'm loved so much. Otherwise these ""kill your self"" ""Fuck the world"" ""I'm losing my mind"" Thoughts might actually take root. #depression #thelongnight #fightfightfight",[],[],[],0,1,1,"['#depression', '#thelongnight', '#fightfightfight']",[],https://twitter.com/Devon_Malone/status/947568136416403456,False,,0,,,,,,,"[{'user_id': '250022569', 'username': 'Devon_Malone'}]",,,,,"I'm glad I'm loved so much. Otherwise these ""kill your self"" ""Fuck the world"" ""I'm losing my mind"" Thoughts might actually take root.   "
1173,947567379340562432,947567379340562432,1514752642000,2017-12-31,22:37:22,?aeianei? ?na GTB,714991704772853760,hamishbayston,Hamish Bayston,,Courage will come from mastering your fears #Depression #thethoughhackers pic.twitter.com/m87ESAumN8,[],[],['https://pbs.twimg.com/media/DSZvgjkVwAcu5_7.jpg'],0,0,0,"['#depression', '#thethoughhackers']",[],https://twitter.com/hamishbayston/status/947567379340562432,False,,0,,,,,,,"[{'user_id': '714991704772853760', 'username': 'hamishbayston'}]",,,,,Courage will come from mastering your fears   pic.twitter.com/m87ESAumN8
1187,947563699333627904,947563699333627904,1514751765000,2017-12-31,22:22:45,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,A text message letting someone who is suffering from #depression know that you're thinking about them is a simple way to give some support!  pic.twitter.com/SBYCEyTtQD,[],[],[],0,1,0,['#depression'],[],https://twitter.com/allevin18/status/947563699333627904,False,,1,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,A text message letting someone who is suffering from  know that you're thinking about them is a simple way to give some support!  pic.twitter.com/SBYCEyTtQD
1194,947562738053795844,947562738053795844,1514751536000,2017-12-31,22:18:56,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,#Men: Changes in behavior? Shortened temper? Loss of interest in things   you typically enjoy? Isolating yourself? Making excuses to not see your   friends...very well could be #depression. Stop masking it and trying to “tough it out”. See your doctor. Reach out for help!,[],[],[],0,4,4,"['#men', '#depression']",[],https://twitter.com/allevin18/status/947562738053795844,False,,0,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,: Changes in behavior? Shortened temper? Loss of interest in things   you typically enjoy? Isolating yourself? Making excuses to not see your   friends...very well could be . Stop masking it and trying to “tough it out”. See your doctor. Reach out for help!
1227,947555117804412928,947555117804412928,1514749719000,2017-12-31,21:48:39,?aeianei? ?na GTB,451344704,toilet_selfies,whorechata,,Sitting in a full dispensary waiting room and I haven’t showered in a week so no one is sitting next to me LOL #depression,[],[],[],0,0,9,['#depression'],[],https://twitter.com/toilet_selfies/status/947555117804412928,False,,0,,,,,,,"[{'user_id': '451344704', 'username': 'toilet_selfies'}]",,,,,Sitting in a full dispensary waiting room and I haven’t showered in a week so no one is sitting next to me LOL 
1230,947554601238257664,947554601238257664,1514749596000,2017-12-31,21:46:36,?aeianei? ?na GTB,277065467,angelajbraach,Angela Braach,,One of the best things that happened to me this year was BEATING a terrible relapse of #anxiety and first time ever #depression. I'm stronger and thankful to have made it through the pain!,[],[],[],0,0,2,"['#anxiety', '#depression']",[],https://twitter.com/AngelaJBraach/status/947554601238257664,False,,0,,,,,,,"[{'user_id': '277065467', 'username': 'AngelaJBraach'}]",,,,,One of the best things that happened to me this year was BEATING a terrible relapse of  and first time ever . I'm stronger and thankful to have made it through the pain!
1237,947552845011722240,947552845011722240,1514749177000,2017-12-31,21:39:37,?aeianei? ?na GTB,312512109,hollynheron,Hollyn Heron,,"Not how I wanted to finish off the year, but such is life #depression  pic.twitter.com/lY8XSSLNZ0",[],[],[],1,0,4,['#depression'],[],https://twitter.com/HollynHeron/status/947552845011722240,False,,1,,,,,,,"[{'user_id': '312512109', 'username': 'HollynHeron'}]",,,,,"Not how I wanted to finish off the year, but such is life   pic.twitter.com/lY8XSSLNZ0"
1238,947552705442205696,947552705442205696,1514749144000,2017-12-31,21:39:04,?aeianei? ?na GTB,2347499112,hope4siblings,"Nancy Kilgore, M.S.",,#bullying #depression SIBLING ABUSE SURVIVOR? Therapy never worked?  pic.twitter.com/tvcuYnD5nB,[],[],['https://pbs.twimg.com/media/DSZiKcxW0AAWi8O.jpg'],0,1,0,"['#bullying', '#depression']",[],https://twitter.com/Hope4Siblings/status/947552705442205696,False,,0,,,,,,,"[{'user_id': '2347499112', 'username': 'Hope4Siblings'}]",,,,,  SIBLING ABUSE SURVIVOR? Therapy never worked?  pic.twitter.com/tvcuYnD5nB
1240,947552126678401024,947552126678401024,1514749006000,2017-12-31,21:36:46,?aeianei? ?na GTB,924378521090318338,blackonionyx,Onika Colbert,,Im working on this vid for school abt #food + #depression I have no idea how Iam to put it together.. the video I took. Is legit me cutting watermelon. And I'm talking about roasting food in the oven. 😑 Like saying this out loud. feel like I'm walking in on some #racist joke. 😌,[],[],[],1,0,0,"['#food', '#depression', '#racist']",[],https://twitter.com/Blackonionyx/status/947552126678401024,False,,0,,,,,,,"[{'user_id': '924378521090318338', 'username': 'Blackonionyx'}]",,,,,Im working on this vid for school abt  +  I have no idea how Iam to put it together.. the video I took. Is legit me cutting watermelon. And I'm talking about roasting food in the oven. 😑 Like saying this out loud. feel like I'm walking in on some  joke. 😌
1253,947548537759207424,947548537759207424,1514748150000,2017-12-31,21:22:30,?aeianei? ?na GTB,18119407,herownmind2018,Touch Me🥰,,"What does it mean when the bad, uncomfortable and harmful things are what you remember about your life? #depression",[],[],[],1,0,0,['#depression'],[],https://twitter.com/HerOwnMind2018/status/947548537759207424,False,,0,,,,,,,"[{'user_id': '18119407', 'username': 'HerOwnMind2018'}]",,,,,"What does it mean when the bad, uncomfortable and harmful things are what you remember about your life? "
1269,947544905693454336,947544905693454336,1514747284000,2017-12-31,21:08:04,?aeianei? ?na GTB,2906605882,louisvilletms,Louisville TMS,,"We are proud to offer TMS Therapy for the treatment of depression and other mood disorders, and have seen it help our patients in real and meaningful ways. If you are interested in learning how #TMS Therapy can help treat your #depression then contact us to learn more.  pic.twitter.com/OoS6f76k9S",[],[],['https://pbs.twimg.com/media/DSZbETtWsAAAJ5t.jpg'],0,0,0,"['#tms', '#depression']",[],https://twitter.com/LouisvilleTMS/status/947544905693454336,False,,0,,,,,,,"[{'user_id': '2906605882', 'username': 'LouisvilleTMS'}]",,,,,"We are proud to offer TMS Therapy for the treatment of depression and other mood disorders, and have seen it help our patients in real and meaningful ways. If you are interested in learning how  Therapy can help treat your  then contact us to learn more.  pic.twitter.com/OoS6f76k9S"
1274,947543890214686720,947543890214686720,1514747042000,2017-12-31,21:04:02,?aeianei? ?na GTB,2437169310,tmsofsouthtampa,"Kenneth P. Pages, MD",,#TMS Therapy can treat #depression and mood disorders with limited to no side effects. Contact us to learn more.  pic.twitter.com/kFaMy69IMu,[],[],['https://pbs.twimg.com/media/DSZaJQOU8AE_nPK.jpg'],0,0,0,"['#tms', '#depression']",[],https://twitter.com/TMSofSouthTampa/status/947543890214686720,False,,0,,,,,,,"[{'user_id': '2437169310', 'username': 'TMSofSouthTampa'}]",,,,, Therapy can treat  and mood disorders with limited to no side effects. Contact us to learn more.  pic.twitter.com/kFaMy69IMu
1322,947527022858915840,947527022858915840,1514743021000,2017-12-31,19:57:01,?aeianei? ?na GTB,837973984029392897,maximusdown,Maximilian,,Mir geht es wieder sehr schlecht in der letzten Zeit. Ich weiß gar nicht was ich machen soll. Gefühlt müsste ich wieder in die Klapse.. Naja muss auch so gehen #depression #borderline #notjustsad,[],[],[],0,0,3,"['#depression', '#borderline', '#notjustsad']",[],https://twitter.com/Maximusdown/status/947527022858915840,False,,0,,,,,,,"[{'user_id': '837973984029392897', 'username': 'Maximusdown'}]",,,,,Mir geht es wieder sehr schlecht in der letzten Zeit. Ich weiß gar nicht was ich machen soll. Gefühlt müsste ich wieder in die Klapse.. Naja muss auch so gehen   
1340,947522060040974337,947522060040974337,1514741837000,2017-12-31,19:37:17,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,"Being manly isn't wearing the mask and ignoring the #depression.  Being manly, being tough, is making the choice to seek out the support and to put in the effort to recover! Please Retweet and help to #EndTheStigma! pic.twitter.com/0aKFRp59Ql",[],[],[],0,1,0,"['#depression', '#endthestigma']",[],https://twitter.com/allevin18/status/947522060040974337,False,,1,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,"Being manly isn't wearing the mask and ignoring the .  Being manly, being tough, is making the choice to seek out the support and to put in the effort to recover! Please Retweet and help to ! pic.twitter.com/0aKFRp59Ql"
1343,947521746965540869,947521746965540869,1514741763000,2017-12-31,19:36:03,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,"Know someone suffering w/#depression? Don't forget to ask their spouse/partner how THEY are doing. Can be quite challenging for them, too!  pic.twitter.com/qbCV0zyn7c",[],[],[],0,2,0,['#depression'],[],https://twitter.com/allevin18/status/947521746965540869,False,,1,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,"Know someone suffering w/? Don't forget to ask their spouse/partner how THEY are doing. Can be quite challenging for them, too!  pic.twitter.com/qbCV0zyn7c"
1353,947520945459167232,947520945459167232,1514741572000,2017-12-31,19:32:52,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,#Depression  can be stressful on entire family. Know someone suffering? Text them  when at you're at a grocery store to offer to help them with THEIR  grocery list.  pic.twitter.com/7wI5OBxTDZ,[],[],[],0,1,0,['#depression'],[],https://twitter.com/allevin18/status/947520945459167232,False,,1,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,  can be stressful on entire family. Know someone suffering? Text them  when at you're at a grocery store to offer to help them with THEIR  grocery list.  pic.twitter.com/7wI5OBxTDZ
1355,947520673848680449,947520673848680449,1514741507000,2017-12-31,19:31:47,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,Someone you know suffering from #depression? Invite them out for a coffee. Be there and listen empathetically! Please Retweet!  pic.twitter.com/Tc6FM0U0BC,[],[],[],0,1,0,['#depression'],[],https://twitter.com/allevin18/status/947520673848680449,False,,1,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,Someone you know suffering from ? Invite them out for a coffee. Be there and listen empathetically! Please Retweet!  pic.twitter.com/Tc6FM0U0BC
1387,947514366940860418,947514366940860418,1514740003000,2017-12-31,19:06:43,?aeianei? ?na GTB,95237742,kingjefferson1,GaiaGirlSafari,,When you start to think positively but depression creeps up and says “don’t be stupid” #depression #completefailure #bullshit,[],[],[],2,0,1,"['#depression', '#completefailure', '#bullshit']",[],https://twitter.com/KingJefferson1/status/947514366940860418,False,,0,,,,,,,"[{'user_id': '95237742', 'username': 'KingJefferson1'}]",,,,,When you start to think positively but depression creeps up and says “don’t be stupid”   
1398,947511720758702080,947511720758702080,1514739372000,2017-12-31,18:56:12,?aeianei? ?na GTB,57351415,kesleyelizabeth,Kelsey E. Tyrrell,,"Ending the year same way I started it, with a depression nap. #depression #2017 #NewYears #life",[],[],[],1,0,0,"['#depression', '#newyears', '#life']",[],https://twitter.com/KesleyElizabeth/status/947511720758702080,False,,0,,,,,,,"[{'user_id': '57351415', 'username': 'KesleyElizabeth'}]",,,,,"Ending the year same way I started it, with a depression nap.    "
1415,947508987762806784,947508987762806784,1514738721000,2017-12-31,18:45:21,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,"#Depression can impact an entire family. Send a card, create a meal rotation  with neighbors & friends, offer to help them with chores, help them with their kids...Please Retweet and help to #EndTheStigma pic.twitter.com/eix1Fv8V27",[],[],[],0,2,1,"['#depression', '#endthestigma']",[],https://twitter.com/allevin18/status/947508987762806784,False,,1,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,," can impact an entire family. Send a card, create a meal rotation  with neighbors & friends, offer to help them with chores, help them with their kids...Please Retweet and help to  pic.twitter.com/eix1Fv8V27"
1419,947508488695107584,947508488695107584,1514738602000,2017-12-31,18:43:22,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,"Believing that one's #depression will simply pass is NOT a good method of care. Without treatment, one's depression may continue to get worse. Reach out for the support you need. It's okay to NOT be okay!",[],[],[],1,9,10,['#depression'],[],https://twitter.com/allevin18/status/947508488695107584,False,,0,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,"Believing that one's  will simply pass is NOT a good method of care. Without treatment, one's depression may continue to get worse. Reach out for the support you need. It's okay to NOT be okay!"
1432,947504254964699137,947504254964699137,1514737592000,2017-12-31,18:26:32,?aeianei? ?na GTB,946443077912326145,jayybriggs,Shagé,,"You ever see your face from a different angle and have a mental break down

#anxiety #depression",[],[],[],0,0,1,"['#anxiety', '#depression']",[],https://twitter.com/jayybriggs/status/947504254964699137,False,,0,,,,,,,"[{'user_id': '946443077912326145', 'username': 'jayybriggs'}]",,,,,"You ever see your face from a different angle and have a mental break down

 "
1471,947491920330350593,947491920330350593,1514734652000,2017-12-31,17:37:32,?aeianei? ?na GTB,876817212945952768,josephinefrad,J’ose & fine,,Message perso à nombre d’entre  vous : Je tiens à vous remercier pour votre soutien cette année. #depression #burnout 🙏🏻,[],[],[],1,0,8,"['#depression', '#burnout']",[],https://twitter.com/JosephineFrad/status/947491920330350593,False,,0,,,,,,,"[{'user_id': '876817212945952768', 'username': 'JosephineFrad'}]",,,,,Message perso à nombre d’entre  vous : Je tiens à vous remercier pour votre soutien cette année.   🙏🏻
1479,947489607909871616,947489607909871616,1514734100000,2017-12-31,17:28:20,?aeianei? ?na GTB,549501134,anoudxp,𓆩𓆪العنود,,If you know someone who's depressed! #depression  pic.twitter.com/RsAF9QQofN,[],[],['https://pbs.twimg.com/media/DSYowtwWkAIdtJv.jpg'],0,0,1,['#depression'],[],https://twitter.com/Anoudxp/status/947489607909871616,False,,0,,,,,,,"[{'user_id': '549501134', 'username': 'Anoudxp'}]",,,,,If you know someone who's depressed!   pic.twitter.com/RsAF9QQofN
1504,947482761073328134,947482761073328134,1514732468000,2017-12-31,17:01:08,?aeianei? ?na GTB,220121976,chronicmomlife,Marya,,"When you’re having trouble drifting to sleep, turn on a guided meditation to help you relax. #spoonie #depression #disability pic.twitter.com/8s7FCAsCPu",[],[],['https://pbs.twimg.com/media/DSYijIpVoAQcjdM.jpg'],1,2,1,"['#spoonie', '#depression', '#disability']",[],https://twitter.com/chronicmomlife/status/947482761073328134,False,,0,,,,,,,"[{'user_id': '220121976', 'username': 'chronicmomlife'}]",,,,,"When you’re having trouble drifting to sleep, turn on a guided meditation to help you relax.    pic.twitter.com/8s7FCAsCPu"
1513,947481375661228038,947481375661228038,1514732137000,2017-12-31,16:55:37,?aeianei? ?na GTB,291617648,pieafteramovie,🖤,,"2017 has been the worst year of my life. At times I didn't think I'd make it to 2018.

Remember if you are struggling then get help, talk to someone, be kind to yourself and don't give up.

#Depression",[],[],[],8,6,72,['#depression'],[],https://twitter.com/PieAfterAMovie/status/947481375661228038,False,,0,,,,,,,"[{'user_id': '291617648', 'username': 'PieAfterAMovie'}]",,,,,"2017 has been the worst year of my life. At times I didn't think I'd make it to 2018.

Remember if you are struggling then get help, talk to someone, be kind to yourself and don't give up.

"
1519,947478261705125888,947478261705125888,1514731395000,2017-12-31,16:43:15,?aeianei? ?na GTB,734553254604988418,allevin18,"Al Levin, M.Ed.",,"Happy new year! If you’ve been wearing the mask of contentment, may this be the year that you take off the mask, face your #depression, and get the support you need to recover!",[],[],[],1,4,4,['#depression'],[],https://twitter.com/allevin18/status/947478261705125888,False,,0,,,,,,,"[{'user_id': '734553254604988418', 'username': 'allevin18'}]",,,,,"Happy new year! If you’ve been wearing the mask of contentment, may this be the year that you take off the mask, face your , and get the support you need to recover!"
1559,947466862845186049,947466862845186049,1514728677000,2017-12-31,15:57:57,?aeianei? ?na GTB,310352035,jesselongshot,'Shadow' Jesse Longshot (Jeffrey Jacobs)✡️🇮🇱🇺🇸,,"God knows I really need a hug now.  Feeling so sad and depressed, but damn me to hell, that's not happening.  Nobody wants to hug me because I am too much of a damned worthless insignificant inferior nobody to be hugged.  #depression",[],[],[],0,0,0,['#depression'],[],https://twitter.com/JesseLongshot/status/947466862845186049,False,,0,,,,,,,"[{'user_id': '310352035', 'username': 'JesseLongshot'}]",,,,,"God knows I really need a hug now.  Feeling so sad and depressed, but damn me to hell, that's not happening.  Nobody wants to hug me because I am too much of a damned worthless insignificant inferior nobody to be hugged.  "
1568,947464059322060802,947464059322060802,1514728009000,2017-12-31,15:46:49,?aeianei? ?na GTB,310352035,jesselongshot,'Shadow' Jesse Longshot (Jeffrey Jacobs)✡️🇮🇱🇺🇸,,"I weep in the morning
I'm mourning at night
Got nothing left but this broken heart
And there's no hope in sight
Like a badly wounded animal
Suffering endlessly
Somebody needs to shoot me
And put me out of my misery
-from Train of Love  #depression",[],[],[],0,0,0,['#depression'],[],https://twitter.com/JesseLongshot/status/947464059322060802,False,,0,,,,,,,"[{'user_id': '310352035', 'username': 'JesseLongshot'}]",,,,,"I weep in the morning
I'm mourning at night
Got nothing left but this broken heart
And there's no hope in sight
Like a badly wounded animal
Suffering endlessly
Somebody needs to shoot me
And put me out of my misery
-from Train of Love  "
1572,947463698221854720,947463698221854720,1514727923000,2017-12-31,15:45:23,?aeianei? ?na GTB,152573075,skoney_girl,JSK1,,I for one will be glad to see the back of 2017. It feels like #depression has robbed me of yet another year. I’m ready for 2018. Onwards and upwards my friends.,[],[],[],0,0,1,['#depression'],[],https://twitter.com/skoney_girl/status/947463698221854720,False,,0,,,,,,,"[{'user_id': '152573075', 'username': 'skoney_girl'}]",,,,,I for one will be glad to see the back of 2017. It feels like  has robbed me of yet another year. I’m ready for 2018. Onwards and upwards my friends.
1577,947461739528032256,947461739528032256,1514727456000,2017-12-31,15:37:36,?aeianei? ?na GTB,310352035,jesselongshot,'Shadow' Jesse Longshot (Jeffrey Jacobs)✡️🇮🇱🇺🇸,,"If you really cared, if you really want to know how I am feeling, just listen to the lyrics of the songs I listen to and sing which portray my feelings,  Music is my one and only faithful true friend, never abandoning me when everybody else has. #depression",[],[],[],0,0,0,['#depression'],[],https://twitter.com/JesseLongshot/status/947461739528032256,False,,0,,,,,,,"[{'user_id': '310352035', 'username': 'JesseLongshot'}]",,,,,"If you really cared, if you really want to know how I am feeling, just listen to the lyrics of the songs I listen to and sing which portray my feelings,  Music is my one and only faithful true friend, never abandoning me when everybody else has. "
1582,947459352989978624,947459352989978624,1514726887000,2017-12-31,15:28:07,?aeianei? ?na GTB,35136189,rachelstarlive,Rachel Star,,It’s always one of the hardest things for me is getting out of bed. I set around 7 alarms every morning. I’m usually already awake long before the first ever goes off... staring at the ceiling #depression  pic.twitter.com/qA0cV8BCPF,[],[],['https://pbs.twimg.com/media/DSYNQmqU8AE-fi7.jpg'],0,1,6,['#depression'],[],https://twitter.com/rachelstarlive/status/947459352989978624,False,,0,,,,,,,"[{'user_id': '35136189', 'username': 'rachelstarlive'}]",,,,,It’s always one of the hardest things for me is getting out of bed. I set around 7 alarms every morning. I’m usually already awake long before the first ever goes off... staring at the ceiling   pic.twitter.com/qA0cV8BCPF
1586,947457111058997248,947457111058997248,1514726352000,2017-12-31,15:19:12,?aeianei? ?na GTB,933402322675388421,nurseringmaster,"Greg Mercer, MSN",,"I had a rough few months with #depression in 2017 but no hospitalization, no abrupt job loss. Just an uneventful few months of LOA. 

Not like the past.

It gets better.",[],[],[],0,1,4,['#depression'],[],https://twitter.com/NurseRingmaster/status/947457111058997248,False,,0,,,,,,,"[{'user_id': '933402322675388421', 'username': 'NurseRingmaster'}]",,,,,"I had a rough few months with  in 2017 but no hospitalization, no abrupt job loss. Just an uneventful few months of LOA. 

Not like the past.

It gets better."
1588,947456413693079552,947456413693079552,1514726186000,2017-12-31,15:16:26,?aeianei? ?na GTB,722810423196520452,ss_final,D.I.A.D.,,"#Depression is only temporary, you can get passed this!",[],[],[],0,0,0,['#depression'],[],https://twitter.com/SS_Final/status/947456413693079552,False,,0,,,,,,,"[{'user_id': '722810423196520452', 'username': 'SS_Final'}]",,,,," is only temporary, you can get passed this!"
1598,947453779678547968,947453779678547968,1514725558000,2017-12-31,15:05:58,?aeianei? ?na GTB,14090873,dpringle,David  ♿️🎨,,"I know my account has been mostly politics, disabilities, and retweeting. 

I'm hoping I can get out of this deep #depression and make more #art. 

That's what y'all want to hear about. 

#disability defines my life. It therefore interferes with and influences my art.",[],[],[],0,0,5,"['#depression', '#art', '#disability']",[],https://twitter.com/dpringle/status/947453779678547968,False,,0,,,,,,,"[{'user_id': '14090873', 'username': 'dpringle'}]",,,,,"I know my account has been mostly politics, disabilities, and retweeting. 

I'm hoping I can get out of this deep  and make more . 

That's what y'all want to hear about. 

 defines my life. It therefore interferes with and influences my art."
1609,947452343309733888,947452343309733888,1514725216000,2017-12-31,15:00:16,?aeianei? ?na GTB,722810423196520452,ss_final,D.I.A.D.,,"""Anger is energizing. The opposite of anger is depression, which is anger turned inward."" #whatyoudontsee #depression #depressionawarenessweek",[],[],[],0,0,0,"['#whatyoudontsee', '#depression', '#depressionawarenessweek']",[],https://twitter.com/SS_Final/status/947452343309733888,False,,0,,,,,,,"[{'user_id': '722810423196520452', 'username': 'SS_Final'}]",,,,,"""Anger is energizing. The opposite of anger is depression, which is anger turned inward.""   "
1614,947451311733297152,947451311733297152,1514724970000,2017-12-31,14:56:10,?aeianei? ?na GTB,2478213686,ggirlmeetsworld,Val Martinez,,"I can't tell if it's my depression or I'm PMSing, but I've been crying for the past two hours.... #depression #anxiety #imstarvingtoo",[],[],[],0,0,0,"['#depression', '#anxiety', '#imstarvingtoo']",[],https://twitter.com/GGirlmeetsworld/status/947451311733297152,False,,0,,,,,,,"[{'user_id': '2478213686', 'username': 'GGirlmeetsworld'}]",,,,,"I can't tell if it's my depression or I'm PMSing, but I've been crying for the past two hours....   "
1621,947450299341594624,947450299341594624,1514724728000,2017-12-31,14:52:08,?aeianei? ?na GTB,722810423196520452,ss_final,D.I.A.D.,,Cultivate supportive relationships in order to end #depression,[],[],[],0,0,0,['#depression'],[],https://twitter.com/SS_Final/status/947450299341594624,False,,0,,,,,,,"[{'user_id': '722810423196520452', 'username': 'SS_Final'}]",,,,,Cultivate supportive relationships in order to end 
1640,947441059059003394,947441059059003394,1514722525000,2017-12-31,14:15:25,?aeianei? ?na GTB,2803119930,suriahagumi2,surianabilla,,"I can't do it anymore 
I'm exhausted 

It's so hard 

It's slowly taking over me

I don't know how much anymore I can take it

This #Anxiety and #depression are winning 

I'm tired of trying",[],[],[],1,0,1,"['#anxiety', '#depression']",[],https://twitter.com/suriahagumi2/status/947441059059003394,False,,0,,,,,,,"[{'user_id': '2803119930', 'username': 'suriahagumi2'}]",,,,,"I can't do it anymore 
I'm exhausted 

It's so hard 

It's slowly taking over me

I don't know how much anymore I can take it

This  and  are winning 

I'm tired of trying"
